"Time","Activity","HR","Cadence"
"0:18:05","walking",103,58
"0:18:07","walking",103,59
"0:18:09","walking",105,58
"0:18:11","walking",107,57
"0:18:13","walking",107,57
"0:18:15","walking",104,57
"0:18:17","walking",103,57
"0:18:19","walking",105,56
"0:18:21","walking",106,57
"0:18:23","walking",107,58
"0:18:25","walking",106,60
"0:18:27","walking",101,61
"0:18:29","walking",97,61
"0:18:31","walking",96,61
"0:18:33","walking",101,61
"0:18:35","walking",106,61
"0:18:37","walking",108,60
"0:18:39","walking",107,61
"0:18:41","walking",105,59
"0:18:43","walking",104,58
"0:18:45","walking",103,58
"0:18:47","walking",102,58
"0:18:49","walking",102,58
"0:18:51","walking",105,58
"0:18:53","walking",107,61
"0:18:55","walking",106,62
"0:18:57","walking",105,62
"0:18:59","walking",103,62
"0:19:01","walking",102,60
"0:19:03","walking",102,58
"0:19:05","walking",103,57
"0:19:07","walking",105,58
"0:19:09","walking",104,58
"0:19:11","walking",103,58
"0:19:13","walking",104,58
"0:19:15","walking",105,57
"0:19:17","walking",105,57
"0:19:19","walking",104,57
"0:19:21","walking",102,57
"0:19:23","walking",102,58
"0:19:25","walking",101,58
"0:19:27","walking",103,57
"0:19:29","walking",104,56
"0:19:31","walking",105,56
"0:19:33","walking",104,57
"0:19:35","walking",103,57
"0:19:37","walking",101,57
"0:19:39","walking",101,57
"0:19:41","walking",102,57
"0:19:43","walking",102,57
"0:19:45","walking",105,57
"0:19:47","walking",107,57
"0:19:49","walking",104,57
"0:19:51","walking",100,57
"0:19:53","walking",101,58
"0:19:55","walking",103,58
"0:19:57","walking",105,60
"0:19:59","walking",107,58
"0:20:01","walking",106,58
"0:20:03","walking",104,58
"0:20:05","walking",101,58
"0:20:07","walking",102,58
"0:20:09","walking",104,59
"0:20:11","walking",108,59
"0:20:13","walking",112,57
"0:20:15","walking",111,57
"0:20:17","walking",110,58
"0:20:19","walking",107,58
"0:20:21","walking",105,58
"0:20:23","walking",105,57
"0:20:25","walking",106,57
"0:20:27","walking",107,57
"0:20:29","walking",106,57
"0:20:31","walking",103,56
"0:20:33","walking",102,57
"0:20:35","walking",103,57
"0:20:37","walking",105,58
"0:20:39","walking",108,58
"0:20:41","walking",108,58
"0:20:43","walking",105,58
"0:20:45","walking",103,57
"0:20:47","walking",104,56
"0:20:49","walking",104,57
"0:20:51","walking",106,57
"0:20:53","walking",107,57
"0:20:55","walking",106,58
"0:20:57","walking",105,58
"0:20:59","walking",104,58
"0:21:01","walking",104,58
"0:21:03","walking",104,58
"0:21:05","walking",105,58
"0:21:07","walking",104,58
"0:21:09","walking",103,58
"0:21:11","walking",103,58
"0:21:13","walking",102,61
"0:21:15","walking",102,60
"0:21:17","walking",102,59
"0:21:19","walking",102,59
"0:21:21","walking",101,58
"0:21:23","walking",99,58
"0:21:25","walking",99,59
"0:21:27","walking",100,59
"0:21:29","walking",101,59
"0:21:31","walking",101,59
"0:21:33","walking",102,59
"0:21:35","walking",103,59
"0:21:37","walking",103,59
"0:21:39","walking",102,59
"0:21:41","walking",100,59
"0:21:43","walking",99,59
"0:21:45","walking",102,59
"0:21:47","walking",103,59
"0:21:49","walking",104,58
"0:21:51","walking",104,56
"0:21:53","walking",101,55
"0:21:55","walking",99,55
"0:00:00","running",100,0
"0:00:02","running",102,0
"0:00:04","running",101,0
"0:00:06","running",98,56
"0:00:08","running",95,64
"0:00:10","running",92,71
"0:00:12","running",95,93
"0:00:14","running",98,96
"0:00:16","running",98,94
"0:00:18","running",99,92
"0:00:20","running",95,92
"0:00:22","running",92,91
"0:00:24","running",90,90
"0:00:26","running",91,90
"0:00:28","running",92,90
"0:00:30","running",92,90
"0:00:32","running",91,90
"0:00:34","running",91,90
"0:00:36","running",90,90
"0:00:38","running",90,0
"0:00:40","running",91,0
"0:00:42","running",92,0
"0:00:44","running",91,0
"0:00:46","running",91,0
"0:00:48","running",92,0
"0:00:50","running",91,0
"0:00:52","running",89,0
"0:00:54","running",90,0
"0:00:56","running",91,0
"0:00:58","running",93,0
"0:01:00","running",93,0
"0:01:02","running",91,0
"0:01:04","running",90,0
"0:01:06","running",91,0
"0:01:08","running",91,0
"0:01:10","running",91,0
"0:01:12","running",90,0
"0:01:14","running",90,0
"0:01:16","running",91,0
"0:01:18","running",92,0
"0:01:20","running",94,0
"0:01:22","running",93,0
"0:01:24","running",94,0
"0:01:26","running",96,0
"0:01:28","running",97,0
"0:01:30","running",96,0
"0:01:32","running",92,0
"0:01:34","running",90,0
"0:01:36","running",90,0
"0:01:38","running",90,0
"0:01:40","running",91,0
"0:01:42","running",95,0
"0:01:44","running",95,0
"0:01:46","running",90,0
"0:01:48","running",92,0
"0:01:50","running",97,0
"0:01:52","running",96,0
"0:01:54","running",92,42
"0:01:56","running",88,51
"0:01:58","running",85,52
"0:02:00","running",84,53
"0:02:02","running",85,59
"0:02:04","running",87,59
"0:02:06","running",89,60
"0:02:08","running",91,60
"0:02:10","running",92,63
"0:02:12","running",94,63
"0:02:14","running",95,63
"0:02:16","running",98,63
"0:02:18","running",102,63
"0:02:20","running",101,62
"0:02:22","running",96,61
"0:02:24","running",93,61
"0:02:26","running",92,61
"0:02:28","running",93,60
"0:02:30","running",95,61
"0:02:32","running",98,75
"0:02:34","running",104,86
"0:02:36","running",108,86
"0:02:38","running",111,86
"0:02:40","running",113,87
"0:02:42","running",114,87
"0:02:44","running",114,86
"0:02:46","running",116,86
"0:02:48","running",118,86
"0:02:50","running",119,84
"0:02:52","running",119,82
"0:02:54","running",119,82
"0:02:56","running",120,82
"0:02:58","running",123,85
"0:03:00","running",124,85
"0:03:02","running",125,85
"0:03:04","running",127,85
"0:03:06","running",127,85
"0:03:08","running",129,83
"0:03:10","running",130,85
"0:03:12","running",131,85
"0:03:14","running",131,85
"0:03:16","running",133,86
"0:03:18","running",135,86
"0:03:20","running",135,86
"0:03:22","running",136,84
"0:03:24","running",137,84
"0:03:26","running",138,84
"0:03:28","running",139,85
"0:03:30","running",140,85
"0:03:32","running",141,85
"0:03:34","running",141,85
"0:03:36","running",142,83
"0:03:38","running",142,83
"0:03:40","running",142,83
"0:03:42","running",143,85
"0:03:44","running",144,85
"0:03:46","running",144,85
"0:03:48","running",145,85
"0:03:50","running",145,85
"0:03:52","running",146,85
"0:03:54","running",145,85
"0:03:56","running",144,85
"0:03:58","running",144,85
"0:04:00","running",144,85
"0:04:02","running",145,85
"0:04:04","running",146,84
"0:04:06","running",146,85
"0:04:08","running",146,85
"0:04:10","running",147,85
"0:04:12","running",148,85
"0:04:14","running",148,85
"0:04:16","running",148,83
"0:04:18","running",148,85
"0:04:20","running",148,85
"0:04:22","running",149,85
"0:04:24","running",150,84
"0:04:26","running",150,84
"0:04:28","running",149,85
"0:04:30","running",149,85
"0:04:32","running",150,85
"0:04:34","running",149,85
"0:04:36","running",148,85
"0:04:38","running",147,85
"0:04:40","running",148,85
"0:04:42","running",148,85
"0:04:44","running",148,83
"0:04:46","running",149,83
"0:04:48","running",150,83
"0:04:50","running",149,83
"0:04:52","running",147,83
"0:04:54","running",146,84
"0:04:56","running",147,85
"0:04:58","running",147,85
"0:05:00","running",146,85
"0:05:02","running",145,85
"0:05:04","running",146,85
"0:05:06","running",147,85
"0:05:08","running",147,83
"0:05:10","running",146,83
"0:05:12","running",146,85
"0:05:14","running",147,85
"0:05:16","running",147,86
"0:05:18","running",148,86
"0:05:20","running",149,86
"0:05:22","running",150,86
"0:05:24","running",150,85
"0:05:26","running",150,85
"0:05:28","running",149,83
"0:05:30","running",148,84
"0:05:32","running",148,83
"0:05:34","running",149,84
"0:05:36","running",151,83
"0:05:38","running",150,81
"0:05:40","running",148,84
"0:05:42","running",145,85
"0:05:44","running",145,85
"0:05:46","running",146,83
"0:05:48","running",147,83
"0:05:50","running",146,83
"0:05:52","running",145,82
"0:05:54","running",146,82
"0:05:56","running",147,82
"0:05:58","running",146,82
"0:06:00","running",144,85
"0:06:02","running",144,85
"0:06:04","running",144,85
"0:06:06","running",144,84
"0:06:08","running",143,83
"0:06:10","running",144,84
"0:06:12","running",146,85
"0:06:14","running",147,83
"0:06:16","running",147,83
"0:06:18","running",145,81
"0:06:20","running",144,83
"0:06:22","running",144,85
"0:06:24","running",144,82
"0:06:26","running",144,81
"0:06:28","running",146,82
"0:06:30","running",148,82
"0:06:32","running",146,82
"0:06:34","running",144,82
"0:06:36","running",143,82
"0:06:38","running",143,82
"0:06:40","running",143,82
