"Time","Activity","HR","Speed_NR","Cadence"
"0:04:15","office_work",72,2.785966408,0
"0:04:16","office_work",71,2.783626838,0
"0:04:17","office_work",71,2.780144565,0
"0:04:18","office_work",71,2.775614231,0
"0:04:19","office_work",71,2.770157455,0
"0:04:20","office_work",71,2.763907774,0
"0:04:21","office_work",71,2.757000122,0
"0:04:22","office_work",71,2.7495649,0
"0:04:23","office_work",72,2.741725927,0
"0:04:24","office_work",72,2.733601029,0
"0:04:25","office_work",72,2.72530373,0
"0:04:26","office_work",72,2.716944592,0
"0:04:27","office_work",72,2.708631154,0
"0:04:28","office_work",71,2.700466066,0
"0:04:29","office_work",71,2.69254367,0
"0:04:30","office_work",72,2.684945804,0
"0:04:31","office_work",72,2.677737756,0
"0:04:32","office_work",72,2.670965206,0
"0:04:33","office_work",73,2.66465263,0
"0:04:34","office_work",73,2.658803345,0
"0:04:35","office_work",73,2.653401117,0
"0:04:36","office_work",73,2.6484132,0
"0:04:37","office_work",73,2.643794688,0
"0:04:38","office_work",72,2.639494099,0
"0:04:39","office_work",72,2.635460074,0
"0:04:40","office_work",72,2.631648924,0
"0:04:41","office_work",72,2.628032506,0
"0:04:42","office_work",73,2.624605662,0
"0:04:43","office_work",73,2.621392329,0
"0:04:44","office_work",73,2.618449431,0
"0:04:45","office_work",73,2.615867967,0
"0:04:46","office_work",72,2.613771126,0
"0:04:47","office_work",71,2.612309798,0
"0:04:48","office_work",71,2.611656219,0
"0:04:49","office_work",70,2.611996747,0
"0:04:50","office_work",70,2.613524667,0
"0:04:51","office_work",71,2.61643379,0
"0:04:52","office_work",71,2.620913252,0
"0:04:53","office_work",71,2.627143722,0
"0:04:54","office_work",71,2.63529499,0
"0:04:55","office_work",72,2.645524786,0
"0:04:56","office_work",73,2.657978471,0
"0:04:57","office_work",73,2.67278908,0
"0:04:58","office_work",73,2.69007688,0
"0:04:59","office_work",73,2.709947462,0
"0:05:00","office_work",72,2.73248737,0
"0:05:01","office_work",72,2.757756595,0
"0:05:02","office_work",73,2.785777998,0
"0:05:03","office_work",74,2.816524683,0
"0:05:04","office_work",75,2.849907345,0
"0:05:05","office_work",75,2.885764244,0
"0:05:06","office_work",76,2.923856495,0
"0:05:07","office_work",76,2.963870591,0
"0:05:08","office_work",76,3.005428739,0
"0:05:09","office_work",76,3.048106051,0
"0:05:10","office_work",76,3.091452371,0
"0:05:11","office_work",75,3.135015929,0
"0:05:12","office_work",75,3.178366264,0
"0:05:13","office_work",75,3.221114636,0
"0:05:14","office_work",74,3.26293125,0
"0:05:15","office_work",74,3.303559287,0
"0:05:16","office_work",74,3.342825867,0
"0:05:17","office_work",73,3.380649453,0
"0:05:18","office_work",72,3.417042213,0
"0:05:19","office_work",72,3.452105178,0
"0:05:20","office_work",72,3.486014081,0
"0:05:21","office_work",71,3.518994932,0
"0:05:22","office_work",71,3.551290297,0
"0:05:23","office_work",70,3.583119513,0
"0:05:24","office_work",71,3.614637947,0
"0:05:25","office_work",71,3.645901347,0
"0:05:26","office_work",71,3.676841172,0
"0:05:27","office_work",71,3.707255342,0
"0:05:28","office_work",71,3.736816571,0
"0:05:29","office_work",71,3.765097678,0
"0:05:30","office_work",71,3.791610645,0
"0:05:31","office_work",71,3.815854175,0
"0:05:32","office_work",72,3.837363527,0
"0:05:33","office_work",72,3.855756478,0
"0:05:34","office_work",73,3.870770188,0
"0:05:35","office_work",73,3.88228522,0
"0:05:36","office_work",73,3.890334488,0
"0:05:37","office_work",73,3.8950964,0
"0:05:38","office_work",73,3.896872733,0
"0:05:39","office_work",72,3.896053191,0
"0:05:40","office_work",72,3.893070006,0
"0:05:41","office_work",71,3.888347474,0
"0:05:42","office_work",71,3.882252456,0
"0:05:43","office_work",71,3.875052231,0
"0:05:44","office_work",71,3.866885318,0
"0:05:45","office_work",71,3.85774882,0
"0:05:46","office_work",71,3.847503078,0
"0:05:47","office_work",71,3.835891493,0
"0:05:48","office_work",71,3.822571176,0
"0:05:49","office_work",71,3.807149087,0
"0:05:50","office_work",71,3.789218596,0
"0:05:51","office_work",71,3.768392757,0
"0:05:52","office_work",71,3.74433231,0
"0:05:53","office_work",71,3.716768027,0
"0:05:54","office_work",71,3.685518054,0
"0:05:55","office_work",71,3.650501338,0
"0:05:56","office_work",71,3.611748074,0
"0:05:57","office_work",71,3.569407556,0
"0:05:58","office_work",72,3.523753047,0
"0:05:59","office_work",73,3.475182525,0
"0:06:00","office_work",74,3.424213759,0
"0:06:01","office_work",75,3.371472246,0
"0:06:02","office_work",76,3.317671241,0
"0:06:03","office_work",76,3.263584152,0
"0:06:04","office_work",76,3.210010668,0
"0:06:05","office_work",76,3.157738842,0
"0:06:06","office_work",76,3.10750588,0
"0:06:07","office_work",75,3.059960763,0
"0:06:08","office_work",75,3.015632029,0
"0:06:09","office_work",75,2.974904099,0
"0:06:10","office_work",75,2.938004964,0
"0:06:11","office_work",74,2.905006864,0
"0:06:12","office_work",74,2.875839681,0
"0:06:13","office_work",73,2.850314841,0
